lr,batch_size,weight_decay,mean_val_acc,s1_val,s2_val,s3_val
0.0003,16,0.0001,0.7931034482758621,0.7931034482758621,0.6206896551724138,0.9655172413793104
0.0003,16,0.001,0.7816091954022989,0.7931034482758621,0.5862068965517241,0.9655172413793104
0.001,32,0.001,0.7701149425287356,0.8275862068965517,0.5172413793103449,0.9655172413793104
0.001,32,0.0001,0.7701149425287356,0.8275862068965517,0.5172413793103449,0.9655172413793104
0.001,16,0.0001,0.7586206896551725,0.8275862068965517,0.5172413793103449,0.9310344827586207
0.001,16,0.001,0.7586206896551725,0.8275862068965517,0.5172413793103449,0.9310344827586207
0.0003,32,0.001,0.7471264367816092,0.7586206896551724,0.5517241379310345,0.9310344827586207
0.0003,32,0.0001,0.735632183908046,0.7586206896551724,0.5172413793103449,0.9310344827586207
0.0001,16,0.0001,0.735632183908046,0.6896551724137931,0.6551724137931034,0.8620689655172413
0.0001,16,0.001,0.7241379310344828,0.6896551724137931,0.6206896551724138,0.8620689655172413
0.0001,32,0.0001,0.7011494252873564,0.6896551724137931,0.5862068965517241,0.8275862068965517
0.0001,32,0.001,0.7011494252873564,0.6896551724137931,0.5862068965517241,0.8275862068965517
